solution_role,K,batteries,result_contract,tau_min,h_min,recover_min,stops,turbines,E0_Wh,kappa,c_state,uav,margin_E_Wh,margin_T_s,rel_margin_E,rel_margin_T,binding,E_flight_Wh,E_escort_Wh,E_dock_Wh,E_plan_Wh,E_soc_required_Wh,t_dock_s,uav_id,battery_group,post_service_mode,post_service_start_min,post_service_end_min,schedule_json
direct_full_lex_certification,2,7,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,82.5,20.0,102.5,1,Rodsand_II_008,253.1,vp_unimodal,动力定位,M,126.1,4.0,0.3326,0.0031,time,215.7,0.0,36.9,253.1,253.1,157.0,0,0,none_after_last_mission,,,"{""dock_start_s"":1042.6946215728703,""escort_start_s"":527.6854440648876,""h_s"":1200.0,""inspections"":[{""end_s"":431.2637751852761,""start_s"":120.26377518527609,""turbine_id"":""Rodsand_II_008""}],""path_m"":[[-2905.062670086584,2226.11316758895],[-3878.345822899044,1031.6665294084269],[-2952.9344554175195,2057.3562975891437]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":120.26377518527609,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_008""},{""end_s"":431.2637751852761,""phase"":""inspection"",""start_s"":120.26377518527609,""turbine_id"":""Rodsand_II_008""},{""end_s"":527.6854440648876,""phase"":""return_leg"",""start_s"":431.2637751852761},{""end_s"":1042.6946215728703,""phase"":""escort"",""start_s"":527.6854440648876},{""end_s"":1200.0,""phase"":""dock"",""start_s"":1042.6946215728703}],""predicted_recovery_point_m"":[-2952.9344554175195,2057.3562975891437],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":527.6854440648876,""t_dock_s"":157.30537842712977,""touchdown_s"":1200.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-2905.062670086584,""y_m"":2226.11316758895},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-2905.062670086584,""y_m"":2226.11316758895},{""phase"":""arrive_turbine"",""t_s"":120.26377518527609,""turbine_id"":""Rodsand_II_008"",""x_m"":-3878.345822899044,""y_m"":1031.6665294084269},{""phase"":""inspection_complete"",""t_s"":431.2637751852761,""turbine_id"":""Rodsand_II_008"",""x_m"":-3878.345822899044,""y_m"":1031.6665294084269},{""phase"":""arrive_recovery_target"",""t_s"":527.6854440648876,""x_m"":-2952.9344554175195,""y_m"":2057.3562975891437},{""phase"":""escort_complete"",""t_s"":1042.6946215728703,""x_m"":-2952.9344554175195,""y_m"":2057.3562975891437},{""phase"":""touchdown"",""t_s"":1200.0,""x_m"":-2952.9344554175195,""y_m"":2057.3562975891437}]}"
direct_full_lex_certification,2,7,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,160.0,30.0,190.0,2,Rodsand_II_005;Rodsand_II_006,378.8,vp_unimodal,动力定位,M,0.4,16.0,0.0011,0.0088,energy,338.4,0.0,39.6,378.8,378.8,169.0,1,1,none_after_last_mission,,,"{""dock_start_s"":1631.4446855246222,""escort_start_s"":740.2639336324808,""h_s"":1800.0,""inspections"":[{""end_s"":325.6365953699748,""start_s"":14.636595369974842,""turbine_id"":""Rodsand_II_005""},{""end_s"":707.1530829468998,""start_s"":396.1530829468997,""turbine_id"":""Rodsand_II_006""}],""path_m"":[[-2576.047332217171,559.6934856460999],[-2584.789529167861,584.5517293704775],[-3219.6942669719692,790.7071233696646],[-2581.5784233956665,570.8129783163432]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":14.636595369974842,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_005""},{""end_s"":325.6365953699748,""phase"":""inspection"",""start_s"":14.636595369974842,""turbine_id"":""Rodsand_II_005""},{""end_s"":396.1530829468997,""leg_index"":1,""phase"":""outbound_leg"",""start_s"":325.6365953699748,""turbine_id"":""Rodsand_II_006""},{""end_s"":707.1530829468998,""phase"":""inspection"",""start_s"":396.1530829468997,""turbine_id"":""Rodsand_II_006""},{""end_s"":740.2639336324808,""phase"":""return_leg"",""start_s"":707.1530829468998},{""end_s"":1631.4446855246222,""phase"":""escort"",""start_s"":740.2639336324808},{""end_s"":1800.0,""phase"":""dock"",""start_s"":1631.4446855246222}],""predicted_recovery_point_m"":[-2581.5784233956665,570.8129783163432],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":740.2639336324808,""t_dock_s"":168.55531447537786,""touchdown_s"":1800.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-2576.047332217171,""y_m"":559.6934856460999},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-2576.047332217171,""y_m"":559.6934856460999},{""phase"":""arrive_turbine"",""t_s"":14.636595369974842,""turbine_id"":""Rodsand_II_005"",""x_m"":-2584.789529167861,""y_m"":584.5517293704775},{""phase"":""inspection_complete"",""t_s"":325.6365953699748,""turbine_id"":""Rodsand_II_005"",""x_m"":-2584.789529167861,""y_m"":584.5517293704775},{""phase"":""arrive_turbine"",""t_s"":396.1530829468997,""turbine_id"":""Rodsand_II_006"",""x_m"":-3219.6942669719692,""y_m"":790.7071233696646},{""phase"":""inspection_complete"",""t_s"":707.1530829468998,""turbine_id"":""Rodsand_II_006"",""x_m"":-3219.6942669719692,""y_m"":790.7071233696646},{""phase"":""arrive_recovery_target"",""t_s"":740.2639336324808,""x_m"":-2581.5784233956665,""y_m"":570.8129783163432},{""phase"":""escort_complete"",""t_s"":1631.4446855246222,""x_m"":-2581.5784233956665,""y_m"":570.8129783163432},{""phase"":""touchdown"",""t_s"":1800.0,""x_m"":-2581.5784233956665,""y_m"":570.8129783163432}]}"
direct_full_lex_certification,2,7,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,177.5,20.0,197.5,1,Rodsand_II_004,253.0,vp_unimodal,动力定位,M,126.2,36.0,0.3329,0.0302,time,215.1,0.0,37.7,253.0,253.0,163.0,0,2,none_after_last_mission,,,"{""dock_start_s"":1037.2217297338682,""escort_start_s"":456.2118560107301,""h_s"":1200.0,""inspections"":[{""end_s"":376.99159897045456,""start_s"":65.99159897045456,""turbine_id"":""Rodsand_II_004""}],""path_m"":[[-1813.4696460762436,1296.1992598338],[-1927.2349729910134,401.3024902599132],[-1805.9412164175976,1299.905757392428]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":65.99159897045456,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_004""},{""end_s"":376.99159897045456,""phase"":""inspection"",""start_s"":65.99159897045456,""turbine_id"":""Rodsand_II_004""},{""end_s"":456.2118560107301,""phase"":""return_leg"",""start_s"":376.99159897045456},{""end_s"":1037.2217297338682,""phase"":""escort"",""start_s"":456.2118560107301},{""end_s"":1200.0,""phase"":""dock"",""start_s"":1037.2217297338682}],""predicted_recovery_point_m"":[-1805.9412164175976,1299.905757392428],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":456.2118560107301,""t_dock_s"":162.77827026613178,""touchdown_s"":1200.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-1813.4696460762436,""y_m"":1296.1992598338},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-1813.4696460762436,""y_m"":1296.1992598338},{""phase"":""arrive_turbine"",""t_s"":65.99159897045456,""turbine_id"":""Rodsand_II_004"",""x_m"":-1927.2349729910134,""y_m"":401.3024902599132},{""phase"":""inspection_complete"",""t_s"":376.99159897045456,""turbine_id"":""Rodsand_II_004"",""x_m"":-1927.2349729910134,""y_m"":401.3024902599132},{""phase"":""arrive_recovery_target"",""t_s"":456.2118560107301,""x_m"":-1805.9412164175976,""y_m"":1299.905757392428},{""phase"":""escort_complete"",""t_s"":1037.2217297338682,""x_m"":-1805.9412164175976,""y_m"":1299.905757392428},{""phase"":""touchdown"",""t_s"":1200.0,""x_m"":-1805.9412164175976,""y_m"":1299.905757392428}]}"
direct_full_lex_certification,2,7,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,272.5,20.0,292.5,1,Rodsand_II_003,250.4,vp_unimodal,动力定位,M,128.8,0.0,0.3395,0.0003,time,209.6,0.0,40.7,250.4,250.4,178.0,1,3,none_after_last_mission,,,"{""dock_start_s"":1021.8564003285062,""escort_start_s"":471.8241806713778,""h_s"":1200.0,""inspections"":[{""end_s"":375.9087161518099,""start_s"":64.90871615180993,""turbine_id"":""Rodsand_II_003""}],""path_m"":[[-1193.7529636772463,1185.9001083636745],[-1245.2237753233499,231.17425249425338],[-1198.98712798751,1191.2686140197352]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":64.90871615180993,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_003""},{""end_s"":375.9087161518099,""phase"":""inspection"",""start_s"":64.90871615180993,""turbine_id"":""Rodsand_II_003""},{""end_s"":471.8241806713778,""phase"":""return_leg"",""start_s"":375.9087161518099},{""end_s"":1021.8564003285062,""phase"":""escort"",""start_s"":471.8241806713778},{""end_s"":1200.0,""phase"":""dock"",""start_s"":1021.8564003285062}],""predicted_recovery_point_m"":[-1198.98712798751,1191.2686140197352],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":471.8241806713778,""t_dock_s"":178.1435996714938,""touchdown_s"":1200.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-1193.7529636772463,""y_m"":1185.9001083636745},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-1193.7529636772463,""y_m"":1185.9001083636745},{""phase"":""arrive_turbine"",""t_s"":64.90871615180993,""turbine_id"":""Rodsand_II_003"",""x_m"":-1245.2237753233499,""y_m"":231.17425249425338},{""phase"":""inspection_complete"",""t_s"":375.9087161518099,""turbine_id"":""Rodsand_II_003"",""x_m"":-1245.2237753233499,""y_m"":231.17425249425338},{""phase"":""arrive_recovery_target"",""t_s"":471.8241806713778,""x_m"":-1198.98712798751,""y_m"":1191.2686140197352},{""phase"":""escort_complete"",""t_s"":1021.8564003285062,""x_m"":-1198.98712798751,""y_m"":1191.2686140197352},{""phase"":""touchdown"",""t_s"":1200.0,""x_m"":-1198.98712798751,""y_m"":1191.2686140197352}]}"
direct_full_lex_certification,2,7,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,292.5,20.0,312.5,1,Rodsand_II_009,251.4,vp_unimodal,动力定位,M,127.8,19.0,0.3371,0.0159,time,210.2,0.0,41.1,251.4,251.4,181.0,0,4,none_after_last_mission,,,"{""dock_start_s"":1019.4357884085061,""escort_start_s"":439.61993374840637,""h_s"":1200.0,""inspections"":[{""end_s"":357.9461891976316,""start_s"":46.946189197631625,""turbine_id"":""Rodsand_II_009""}],""path_m"":[[-1195.66009177457,1186.6546581138052],[-492.48835846332884,1057.0189726833744],[-1196.4317133720024,1184.75561945804]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":46.946189197631625,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_009""},{""end_s"":357.9461891976316,""phase"":""inspection"",""start_s"":46.946189197631625,""turbine_id"":""Rodsand_II_009""},{""end_s"":439.61993374840637,""phase"":""return_leg"",""start_s"":357.9461891976316},{""end_s"":1019.4357884085061,""phase"":""escort"",""start_s"":439.61993374840637},{""end_s"":1200.0,""phase"":""dock"",""start_s"":1019.4357884085061}],""predicted_recovery_point_m"":[-1196.4317133720024,1184.75561945804],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":439.61993374840637,""t_dock_s"":180.56421159149383,""touchdown_s"":1200.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-1195.66009177457,""y_m"":1186.6546581138052},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-1195.66009177457,""y_m"":1186.6546581138052},{""phase"":""arrive_turbine"",""t_s"":46.946189197631625,""turbine_id"":""Rodsand_II_009"",""x_m"":-492.48835846332884,""y_m"":1057.0189726833744},{""phase"":""inspection_complete"",""t_s"":357.9461891976316,""turbine_id"":""Rodsand_II_009"",""x_m"":-492.48835846332884,""y_m"":1057.0189726833744},{""phase"":""arrive_recovery_target"",""t_s"":439.61993374840637,""x_m"":-1196.4317133720024,""y_m"":1184.75561945804},{""phase"":""escort_complete"",""t_s"":1019.4357884085061,""x_m"":-1196.4317133720024,""y_m"":1184.75561945804},{""phase"":""touchdown"",""t_s"":1200.0,""x_m"":-1196.4317133720024,""y_m"":1184.75561945804}]}"
direct_full_lex_certification,2,7,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,307.5,20.0,327.5,1,Rodsand_II_010,253.2,vp_unimodal,动力定位,M,126.0,72.0,0.3322,0.0599,time,211.9,0.0,41.4,253.2,253.2,182.0,1,5,none_after_last_mission,,,"{""dock_start_s"":1017.6203294685062,""escort_start_s"":327.4647476323803,""h_s"":1200.0,""inspections"":[{""end_s"":324.23579994594627,""start_s"":13.235799945946265,""turbine_id"":""Rodsand_II_010""}],""path_m"":[[-1195.3395197686539,1185.8118024645976],[-1170.3696747182971,1179.1110021389813],[-1197.4183191377458,1184.9162728563008]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":13.235799945946265,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_010""},{""end_s"":324.23579994594627,""phase"":""inspection"",""start_s"":13.235799945946265,""turbine_id"":""Rodsand_II_010""},{""end_s"":327.4647476323803,""phase"":""return_leg"",""start_s"":324.23579994594627},{""end_s"":1017.6203294685062,""phase"":""escort"",""start_s"":327.4647476323803},{""end_s"":1200.0,""phase"":""dock"",""start_s"":1017.6203294685062}],""predicted_recovery_point_m"":[-1197.4183191377458,1184.9162728563008],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":327.4647476323803,""t_dock_s"":182.37967053149384,""touchdown_s"":1200.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-1195.3395197686539,""y_m"":1185.8118024645976},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-1195.3395197686539,""y_m"":1185.8118024645976},{""phase"":""arrive_turbine"",""t_s"":13.235799945946265,""turbine_id"":""Rodsand_II_010"",""x_m"":-1170.3696747182971,""y_m"":1179.1110021389813},{""phase"":""inspection_complete"",""t_s"":324.23579994594627,""turbine_id"":""Rodsand_II_010"",""x_m"":-1170.3696747182971,""y_m"":1179.1110021389813},{""phase"":""arrive_recovery_target"",""t_s"":327.4647476323803,""x_m"":-1197.4183191377458,""y_m"":1184.9162728563008},{""phase"":""escort_complete"",""t_s"":1017.6203294685062,""x_m"":-1197.4183191377458,""y_m"":1184.9162728563008},{""phase"":""touchdown"",""t_s"":1200.0,""x_m"":-1197.4183191377458,""y_m"":1184.9162728563008}]}"
direct_full_lex_certification,2,7,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,322.5,25.0,347.5,1,Rodsand_II_002,309.3,vp_unimodal,动力定位,M,69.9,9.0,0.1843,0.0057,time,267.9,0.0,40.8,309.3,309.3,177.0,0,6,none_after_last_mission,,,"{""dock_start_s"":1322.9373412927557,""escort_start_s"":625.4526820952221,""h_s"":1500.0,""inspections"":[{""end_s"":445.98514916396994,""start_s"":134.98514916396996,""turbine_id"":""Rodsand_II_002""}],""path_m"":[[30.27027890175495,1985.5204374905716],[-563.4061658468767,83.95216961642643],[55.85157559794517,1997.4341796348474]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":134.98514916396996,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_002""},{""end_s"":445.98514916396994,""phase"":""inspection"",""start_s"":134.98514916396996,""turbine_id"":""Rodsand_II_002""},{""end_s"":625.4526820952221,""phase"":""return_leg"",""start_s"":445.98514916396994},{""end_s"":1322.9373412927557,""phase"":""escort"",""start_s"":625.4526820952221},{""end_s"":1500.0,""phase"":""dock"",""start_s"":1322.9373412927557}],""predicted_recovery_point_m"":[55.85157559794517,1997.4341796348474],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":625.4526820952221,""t_dock_s"":177.0626587072443,""touchdown_s"":1500.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":30.27027890175495,""y_m"":1985.5204374905716},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":30.27027890175495,""y_m"":1985.5204374905716},{""phase"":""arrive_turbine"",""t_s"":134.98514916396996,""turbine_id"":""Rodsand_II_002"",""x_m"":-563.4061658468767,""y_m"":83.95216961642643},{""phase"":""inspection_complete"",""t_s"":445.98514916396994,""turbine_id"":""Rodsand_II_002"",""x_m"":-563.4061658468767,""y_m"":83.95216961642643},{""phase"":""arrive_recovery_target"",""t_s"":625.4526820952221,""x_m"":55.85157559794517,""y_m"":1997.4341796348474},{""phase"":""escort_complete"",""t_s"":1322.9373412927557,""x_m"":55.85157559794517,""y_m"":1997.4341796348474},{""phase"":""touchdown"",""t_s"":1500.0,""x_m"":55.85157559794517,""y_m"":1997.4341796348474}]}"
