TOTAL PROFILED TIME: 36188.2s
total calls: 12229475191

Thu Aug 27 23:29:06 2026    results/experiments/E1_k1_v31/k1_v31_final.prof
178495668   60.079    0.000  166.934    0.000 step12_branch_price.py:1117(<genexpr>)
     3483    5.940    0.002  155.499    0.045 step12_branch_price.py:9782(_exact_binary_master_feasible)
654100154  131.921    0.000  131.921    0.000 step12_branch_price.py:6852(_contains_time)
  6563084   27.919    0.000  128.186    0.000 step12_branch_price.py:9803(_row_sum)
   460701    0.742    0.000  108.520    0.000 step12_branch_price.py:8108(_round_robin_tagged_iterators)
   422458    0.286    0.000  107.364    0.000 step12_branch_price.py:9258(_depth_prefix_iterator)
2532183/422458    3.996    0.000  107.077    0.000 step12_branch_price.py:9259(walk)
    67381    1.411    0.000  100.563    0.001 step12_branch_price.py:8086(_stable_discovery_order)
    67373    0.179    0.000   99.449    0.001 step12_branch_price.py:8781(_rank_children)
   490130    0.420    0.000   96.905    0.000 step12_branch_price.py:8789(<lambda>)
   917935    3.152    0.000   96.829    0.000 step12_branch_price.py:8719(_prefix_lb_cached)
118585688   62.825    0.000   91.455    0.000 step12_branch_price.py:7170(_outward_add_lower)
   426960   13.731    0.000   90.381    0.000 step12_branch_price.py:8255(evaluate)
       27    0.004    0.000   75.031    2.779 step12_branch_price.py:13946(_diagnose_fixed_archive_coverage)
     9671   16.037    0.002   46.120    0.005 step12_branch_price.py:7214(_universal_pricing_lower_bound)
    53/27    0.008    0.000   42.561    1.576 step12_branch_price.py:11499(_maybe_archive_primal_recover)
 29426626   20.108    0.000   38.468    0.000 step12_branch_price.py:6700(_ordered_tids)
     9671   16.201    0.002   29.269    0.003 step12_branch_price.py:8195(_v20_compile_prefix_bound_context)
     9852   18.404    0.002   25.489    0.003 step12_branch_price.py:6916(_master_rows)
     2428    0.906    0.000   18.363    0.008 step12_branch_price.py:7260(_column_reduced_cost_interval)
   599274    0.780    0.000   15.082    0.000 step12_branch_price.py:6857(_row_coefficient)
 58985723    8.379    0.000   12.363    0.000 step12_branch_price.py:6710(<genexpr>)
  4308185    4.448    0.000   10.083    0.000 step12_branch_price.py:6713(_route_arcs)
       25    0.098    0.004    9.565    0.383 step12_branch_price.py:13198(_primal_refresh_incumbent)
     3609    0.668    0.000    9.548    0.003 step12_branch_price.py:9892(_branch_on_fractional_solution)
  2532151    2.713    0.000    7.284    0.000 step12_branch_price.py:6718(_validate_column_domain)
    20844    0.010    0.000    6.220    0.000 step12_branch_price.py:12562(<genexpr>)
 45125888    6.152    0.000    6.152    0.000 step12_branch_price.py:6696(_tid)
  1338010    2.676    0.000    5.923    0.000 step12_branch_price.py:8642(_prefix_service_floor)
   699187    0.929    0.000    5.357    0.000 step12_branch_price.py:9897(<genexpr>)
 19420997    4.897    0.000    4.897    0.000 step12_branch_price.py:7180(_future_column_coefficient_range)
  8125995    3.111    0.000    4.228    0.000 step12_branch_price.py:6692(_deadline_hit)
        1    0.004    0.004    4.044    4.044 step12_branch_price.py:13082(_initial_singleton_columns)
     3667    0.023    0.000    3.106    0.001 step12_branch_price.py:9884(_audit_integer_selection)
   495890    1.225    0.000    3.015    0.000 step12_branch_price.py:8771(_step_distance)
     6331    0.017    0.000    2.996    0.000 step12_branch_price.py:10013(_global_open_bound)
     6359    2.705    0.000    2.979    0.000 step12_branch_price.py:9992(_global_open_bound_info)
     1550    0.026    0.000    2.600    0.002 step12_branch_price.py:13388(_try_selection)
     6531    0.039    0.000    2.529    0.000 step12_branch_price.py:13673(<lambda>)
     6531    0.003    0.000    2.508    0.000 step12_branch_price.py:13670(<lambda>)
     6531    0.032    0.000    2.505    0.000 step12_branch_price.py:13436(_route_key)
  6389060    1.478    0.000    2.164    0.000 step12_branch_price.py:8645(<genexpr>)
     1065    0.001    0.000    1.986    0.002 step12_branch_price.py:13309(_selection_trial_key)
     6342    0.020    0.000    1.983    0.000 step12_branch_price.py:13310(<genexpr>)
    52005    0.046    0.000    1.938    0.000 step12_branch_price.py:11947(<genexpr>)
  4071542    1.134    0.000    1.598    0.000 step12_branch_price.py:9206(<genexpr>)
    78736    1.374    0.000    1.571    0.000 step12_branch_price.py:603(<genexpr>)
  4350110    0.927    0.000    1.371    0.000 step12_branch_price.py:8722(<genexpr>)
      576    0.002    0.000    1.298    0.002 step12_branch_price.py:9078(_launch_score)
     6336    0.004    0.000    1.294    0.000 step12_branch_price.py:9086(<genexpr>)
        3    0.020    0.007    1.121    0.374 step12_branch_price.py:7604(_resource_aware_singleton_variant_enrichment)
     3667    1.031    0.000    1.032    0.000 step12_branch_price.py:9880(_resource_map)
  2052720    0.648    0.000    1.029    0.000 step12_branch_price.py:8257(<genexpr>)
   388992    0.330    0.000    0.860    0.000 step12_branch_price.py:13314(_deck_pair_conflict)
        1    0.002    0.002    0.534    0.534 step12_branch_price.py:9616(_route_archive_semantics_invariant)
      485    0.006    0.000    0.407    0.001 step12_branch_price.py:13350(_record_deck_pairs)
  4308186    0.395    0.000    0.395    0.000 step12_branch_price.py:6715(<genexpr>)
     7092    0.251    0.000    0.350    0.000 step12_branch_price.py:9778(_is_integral)
  1041612    0.169    0.000    0.345    0.000 step12_branch_price.py:6865(<genexpr>)
       20    0.002    0.000    0.324    0.016 step12_branch_price.py:7881(_revalidate_seed_column)
  1472118    0.249    0.000    0.317    0.000 step12_branch_price.py:8097(<genexpr>)
      282    0.001    0.000    0.258    0.001 step12_branch_price.py:6743(_column_semantics_fp)
  1472118    0.226    0.000    0.226    0.000 step12_branch_price.py:8096(<genexpr>)
     3787    0.002    0.000    0.215    0.000 step12_branch_price.py:13475(_halfcap_ok)
    27392    0.007    0.000    0.208    0.000 step12_branch_price.py:13476(<genexpr>)
    23605    0.027    0.000    0.201    0.000 step12_branch_price.py:13456(_is_high_energy)
  2246278    0.185    0.000    0.185    0.000 step12_branch_price.py:6965(<genexpr>)
     9817    0.089    0.000    0.169    0.000 step12_branch_price.py:9704(_safe_node_bound_from_pricing)
3484/1792    0.003    0.000    0.153    0.000 step12_branch_price.py:1132(<genexpr>)
 3006/450    0.002    0.000    0.148    0.000 step12_branch_price.py:1134(<genexpr>)
       48    0.002    0.000    0.130    0.003 step12_branch_price.py:9590(_add_columns)
        1    0.002    0.002    0.119    0.119 step12_branch_price.py:14046(_diagnose_resource_variant_postsolve)
     3483    0.024    0.000    0.117    0.000 step12_branch_price.py:9830(_selection_from_local)
      262    0.003    0.000    0.114    0.000 step12_branch_price.py:6762(_normalize_exact_column)
     9671    0.071    0.000    0.108    0.000 step12_branch_price.py:8342(_v30_cached_feature_columns)
     9696    0.022    0.000    0.102    0.000 step12_branch_price.py:502(_risk_policy_for_mode)
    20893    0.093    0.000    0.093    0.000 step12_branch_price.py:9831(<genexpr>)
        7    0.001    0.000    0.091    0.013 step12_branch_price.py:12250(<genexpr>)
    19644    0.080    0.000    0.088    0.000 step12_branch_price.py:9700(_node_allowed_turbine_bound)
   490706    0.067    0.000    0.067    0.000 step12_branch_price.py:8102(<lambda>)
    10357    0.022    0.000    0.066    0.000 step12_branch_price.py:7685(_deck_conflicts)
   106381    0.049    0.000    0.064    0.000 step12_branch_price.py:8631(<genexpr>)
   426960    0.060    0.000    0.060    0.000 step12_branch_price.py:8671(_stage2_energy_coverage_joint_lb)
     1550    0.010    0.000    0.056    0.000 step12_branch_price.py:13323(_deck_conflict_edges)
    16204    0.034    0.000    0.049    0.000 step12_branch_price.py:908(_safe_integer_floor)
       28    0.001    0.000    0.035    0.001 step12_branch_price.py:12833(<genexpr>)
