solution_role,K,batteries,result_contract,tau_min,h_min,recover_min,stops,turbines,E0_Wh,kappa,c_state,uav,margin_E_Wh,margin_T_s,rel_margin_E,rel_margin_T,binding,E_flight_Wh,E_escort_Wh,E_dock_Wh,E_plan_Wh,E_soc_required_Wh,t_dock_s,uav_id,battery_group,post_service_mode,post_service_start_min,post_service_end_min,schedule_json
direct_full_lex_certification,2,7,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,50.0,25.0,75.0,1,Rodsand_II_003,310.1,vp_unimodal,动力定位,M,69.1,43.0,0.1823,0.0288,time,267.1,0.0,42.1,310.1,310.1,184.0,0,0,none_after_last_mission,,,"{""dock_start_s"":1315.9266859148847,""escort_start_s"":515.1206609204278,""h_s"":1500.0,""inspections"":[{""end_s"":434.29646421789346,""start_s"":123.29646421789349,""turbine_id"":""Rodsand_II_003""}],""path_m"":[[-1827.0238107651053,1327.9568255012541],[-1245.2237753233499,231.17425249425338],[-1819.9376903761517,1340.571614182297]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":123.29646421789349,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_003""},{""end_s"":434.29646421789346,""phase"":""inspection"",""start_s"":123.29646421789349,""turbine_id"":""Rodsand_II_003""},{""end_s"":515.1206609204278,""phase"":""return_leg"",""start_s"":434.29646421789346},{""end_s"":1315.9266859148847,""phase"":""escort"",""start_s"":515.1206609204278},{""end_s"":1500.0,""phase"":""dock"",""start_s"":1315.9266859148847}],""predicted_recovery_point_m"":[-1819.9376903761517,1340.571614182297],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":515.1206609204278,""t_dock_s"":184.07331408511527,""touchdown_s"":1500.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-1827.0238107651053,""y_m"":1327.9568255012541},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-1827.0238107651053,""y_m"":1327.9568255012541},{""phase"":""arrive_turbine"",""t_s"":123.29646421789349,""turbine_id"":""Rodsand_II_003"",""x_m"":-1245.2237753233499,""y_m"":231.17425249425338},{""phase"":""inspection_complete"",""t_s"":434.29646421789346,""turbine_id"":""Rodsand_II_003"",""x_m"":-1245.2237753233499,""y_m"":231.17425249425338},{""phase"":""arrive_recovery_target"",""t_s"":515.1206609204278,""x_m"":-1819.9376903761517,""y_m"":1340.571614182297},{""phase"":""escort_complete"",""t_s"":1315.9266859148847,""x_m"":-1819.9376903761517,""y_m"":1340.571614182297},{""phase"":""touchdown"",""t_s"":1500.0,""x_m"":-1819.9376903761517,""y_m"":1340.571614182297}]}"
direct_full_lex_certification,2,7,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,315.0,25.0,340.0,1,Rodsand_II_002,308.2,vp_unimodal,动力定位,M,71.0,8.0,0.1872,0.0056,time,257.2,0.0,49.9,308.2,308.2,220.0,1,1,none_after_last_mission,,,"{""dock_start_s"":1280.2558110893847,""escort_start_s"":595.2166617385367,""h_s"":1500.0,""inspections"":[{""end_s"":475.8514202547711,""start_s"":164.85142025477109,""turbine_id"":""Rodsand_II_002""}],""path_m"":[[-1823.686800487355,1315.043093464102],[-563.4061658468767,83.95216961642643],[-1819.6537131704254,1317.8229666231982]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":164.85142025477109,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_002""},{""end_s"":475.8514202547711,""phase"":""inspection"",""start_s"":164.85142025477109,""turbine_id"":""Rodsand_II_002""},{""end_s"":595.2166617385367,""phase"":""return_leg"",""start_s"":475.8514202547711},{""end_s"":1280.2558110893847,""phase"":""escort"",""start_s"":595.2166617385367},{""end_s"":1500.0,""phase"":""dock"",""start_s"":1280.2558110893847}],""predicted_recovery_point_m"":[-1819.6537131704254,1317.8229666231982],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":595.2166617385367,""t_dock_s"":219.74418891061524,""touchdown_s"":1500.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-1823.686800487355,""y_m"":1315.043093464102},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-1823.686800487355,""y_m"":1315.043093464102},{""phase"":""arrive_turbine"",""t_s"":164.85142025477109,""turbine_id"":""Rodsand_II_002"",""x_m"":-563.4061658468767,""y_m"":83.95216961642643},{""phase"":""inspection_complete"",""t_s"":475.8514202547711,""turbine_id"":""Rodsand_II_002"",""x_m"":-563.4061658468767,""y_m"":83.95216961642643},{""phase"":""arrive_recovery_target"",""t_s"":595.2166617385367,""x_m"":-1819.6537131704254,""y_m"":1317.8229666231982},{""phase"":""escort_complete"",""t_s"":1280.2558110893847,""x_m"":-1819.6537131704254,""y_m"":1317.8229666231982},{""phase"":""touchdown"",""t_s"":1500.0,""x_m"":-1819.6537131704254,""y_m"":1317.8229666231982}]}"
direct_full_lex_certification,2,7,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,325.0,20.0,345.0,1,Rodsand_II_008,253.3,vp_unimodal,动力定位,M,125.9,54.0,0.332,0.0446,time,204.6,0.0,48.7,253.3,253.3,217.0,0,2,none_after_last_mission,,,"{""dock_start_s"":982.9926647215078,""escort_start_s"":327.71371190552014,""h_s"":1200.0,""inspections"":[{""end_s"":324.9862804999627,""start_s"":13.986280499962684,""turbine_id"":""Rodsand_II_008""}],""path_m"":[[-3865.1385340221937,1010.2551721408051],[-3878.345822899044,1031.6665294084269],[-3915.250920230778,984.5536612525118]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":13.986280499962684,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_008""},{""end_s"":324.9862804999627,""phase"":""inspection"",""start_s"":13.986280499962684,""turbine_id"":""Rodsand_II_008""},{""end_s"":327.71371190552014,""phase"":""return_leg"",""start_s"":324.9862804999627},{""end_s"":982.9926647215078,""phase"":""escort"",""start_s"":327.71371190552014},{""end_s"":1200.0,""phase"":""dock"",""start_s"":982.9926647215078}],""predicted_recovery_point_m"":[-3915.250920230778,984.5536612525118],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":327.71371190552014,""t_dock_s"":217.00733527849218,""touchdown_s"":1200.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-3865.1385340221937,""y_m"":1010.2551721408051},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-3865.1385340221937,""y_m"":1010.2551721408051},{""phase"":""arrive_turbine"",""t_s"":13.986280499962684,""turbine_id"":""Rodsand_II_008"",""x_m"":-3878.345822899044,""y_m"":1031.6665294084269},{""phase"":""inspection_complete"",""t_s"":324.9862804999627,""turbine_id"":""Rodsand_II_008"",""x_m"":-3878.345822899044,""y_m"":1031.6665294084269},{""phase"":""arrive_recovery_target"",""t_s"":327.71371190552014,""x_m"":-3915.250920230778,""y_m"":984.5536612525118},{""phase"":""escort_complete"",""t_s"":982.9926647215078,""x_m"":-3915.250920230778,""y_m"":984.5536612525118},{""phase"":""touchdown"",""t_s"":1200.0,""x_m"":-3915.250920230778,""y_m"":984.5536612525118}]}"
