solution_role,K,batteries,result_contract,tau_min,h_min,recover_min,stops,turbines,E0_Wh,kappa,c_state,uav,margin_E_Wh,margin_T_s,rel_margin_E,rel_margin_T,binding,E_flight_Wh,E_escort_Wh,E_dock_Wh,E_plan_Wh,E_soc_required_Wh,t_dock_s,uav_id,battery_group,post_service_mode,post_service_start_min,post_service_end_min,schedule_json
direct_full_lex_certification,1,7,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,45.0,20.0,65.0,1,Rodsand_II_004,258.2,vp_unimodal,动力定位,M,121.0,63.0,0.3192,0.0525,time,220.7,0.0,37.2,258.2,258.2,158.0,0,0,none_after_last_mission,,,"{""dock_start_s"":1042.3416663366602,""escort_start_s"":455.9944070295701,""h_s"":1200.0,""inspections"":[{""end_s"":375.8191923983845,""start_s"":64.81919239838447,""turbine_id"":""Rodsand_II_004""}],""path_m"":[[-1824.5883062128105,1315.8019397974836],[-1927.2349729910134,401.3024902599132],[-1818.7071459723957,1339.4484558437211]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":64.81919239838447,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_004""},{""end_s"":375.8191923983845,""phase"":""inspection"",""start_s"":64.81919239838447,""turbine_id"":""Rodsand_II_004""},{""end_s"":455.9944070295701,""phase"":""return_leg"",""start_s"":375.8191923983845},{""end_s"":1042.3416663366602,""phase"":""escort"",""start_s"":455.9944070295701},{""end_s"":1200.0,""phase"":""dock"",""start_s"":1042.3416663366602}],""predicted_recovery_point_m"":[-1818.7071459723957,1339.4484558437211],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":455.9944070295701,""t_dock_s"":157.6583336633397,""touchdown_s"":1200.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-1824.5883062128105,""y_m"":1315.8019397974836},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-1824.5883062128105,""y_m"":1315.8019397974836},{""phase"":""arrive_turbine"",""t_s"":64.81919239838447,""turbine_id"":""Rodsand_II_004"",""x_m"":-1927.2349729910134,""y_m"":401.3024902599132},{""phase"":""inspection_complete"",""t_s"":375.8191923983845,""turbine_id"":""Rodsand_II_004"",""x_m"":-1927.2349729910134,""y_m"":401.3024902599132},{""phase"":""arrive_recovery_target"",""t_s"":455.9944070295701,""x_m"":-1818.7071459723957,""y_m"":1339.4484558437211},{""phase"":""escort_complete"",""t_s"":1042.3416663366602,""x_m"":-1818.7071459723957,""y_m"":1339.4484558437211},{""phase"":""touchdown"",""t_s"":1200.0,""x_m"":-1818.7071459723957,""y_m"":1339.4484558437211}]}"
direct_full_lex_certification,1,7,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,160.0,30.0,190.0,2,Rodsand_II_005;Rodsand_II_006,378.8,vp_unimodal,动力定位,M,0.4,16.0,0.0011,0.0088,energy,338.4,0.0,39.6,378.8,378.8,169.0,0,1,none_after_last_mission,,,"{""dock_start_s"":1631.4446855246222,""escort_start_s"":740.2639336324808,""h_s"":1800.0,""inspections"":[{""end_s"":325.6365953699748,""start_s"":14.636595369974842,""turbine_id"":""Rodsand_II_005""},{""end_s"":707.1530829468998,""start_s"":396.1530829468997,""turbine_id"":""Rodsand_II_006""}],""path_m"":[[-2576.047332217171,559.6934856460999],[-2584.789529167861,584.5517293704775],[-3219.6942669719692,790.7071233696646],[-2581.5784233956665,570.8129783163432]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":14.636595369974842,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_005""},{""end_s"":325.6365953699748,""phase"":""inspection"",""start_s"":14.636595369974842,""turbine_id"":""Rodsand_II_005""},{""end_s"":396.1530829468997,""leg_index"":1,""phase"":""outbound_leg"",""start_s"":325.6365953699748,""turbine_id"":""Rodsand_II_006""},{""end_s"":707.1530829468998,""phase"":""inspection"",""start_s"":396.1530829468997,""turbine_id"":""Rodsand_II_006""},{""end_s"":740.2639336324808,""phase"":""return_leg"",""start_s"":707.1530829468998},{""end_s"":1631.4446855246222,""phase"":""escort"",""start_s"":740.2639336324808},{""end_s"":1800.0,""phase"":""dock"",""start_s"":1631.4446855246222}],""predicted_recovery_point_m"":[-2581.5784233956665,570.8129783163432],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":740.2639336324808,""t_dock_s"":168.55531447537786,""touchdown_s"":1800.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-2576.047332217171,""y_m"":559.6934856460999},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-2576.047332217171,""y_m"":559.6934856460999},{""phase"":""arrive_turbine"",""t_s"":14.636595369974842,""turbine_id"":""Rodsand_II_005"",""x_m"":-2584.789529167861,""y_m"":584.5517293704775},{""phase"":""inspection_complete"",""t_s"":325.6365953699748,""turbine_id"":""Rodsand_II_005"",""x_m"":-2584.789529167861,""y_m"":584.5517293704775},{""phase"":""arrive_turbine"",""t_s"":396.1530829468997,""turbine_id"":""Rodsand_II_006"",""x_m"":-3219.6942669719692,""y_m"":790.7071233696646},{""phase"":""inspection_complete"",""t_s"":707.1530829468998,""turbine_id"":""Rodsand_II_006"",""x_m"":-3219.6942669719692,""y_m"":790.7071233696646},{""phase"":""arrive_recovery_target"",""t_s"":740.2639336324808,""x_m"":-2581.5784233956665,""y_m"":570.8129783163432},{""phase"":""escort_complete"",""t_s"":1631.4446855246222,""x_m"":-2581.5784233956665,""y_m"":570.8129783163432},{""phase"":""touchdown"",""t_s"":1800.0,""x_m"":-2581.5784233956665,""y_m"":570.8129783163432}]}"
direct_full_lex_certification,1,7,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,265.0,25.0,290.0,1,Rodsand_II_009,314.3,vp_unimodal,动力定位,M,64.9,128.0,0.1712,0.0855,time,272.4,0.0,41.7,314.3,314.3,181.0,0,2,none_after_last_mission,,,"{""dock_start_s"":1319.1079961863832,""escort_start_s"":434.7445983625889,""h_s"":1500.0,""inspections"":[{""end_s"":358.23397049311814,""start_s"":47.233970493118164,""turbine_id"":""Rodsand_II_009""}],""path_m"":[[-1195.456553621641,1185.2400666733736],[-492.48835846332884,1057.0189726833744],[-1172.8712646456916,1171.8966754781156]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":47.233970493118164,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_009""},{""end_s"":358.23397049311814,""phase"":""inspection"",""start_s"":47.233970493118164,""turbine_id"":""Rodsand_II_009""},{""end_s"":434.7445983625889,""phase"":""return_leg"",""start_s"":358.23397049311814},{""end_s"":1319.1079961863832,""phase"":""escort"",""start_s"":434.7445983625889},{""end_s"":1500.0,""phase"":""dock"",""start_s"":1319.1079961863832}],""predicted_recovery_point_m"":[-1172.8712646456916,1171.8966754781156],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":434.7445983625889,""t_dock_s"":180.89200381361692,""touchdown_s"":1500.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-1195.456553621641,""y_m"":1185.2400666733736},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-1195.456553621641,""y_m"":1185.2400666733736},{""phase"":""arrive_turbine"",""t_s"":47.233970493118164,""turbine_id"":""Rodsand_II_009"",""x_m"":-492.48835846332884,""y_m"":1057.0189726833744},{""phase"":""inspection_complete"",""t_s"":358.23397049311814,""turbine_id"":""Rodsand_II_009"",""x_m"":-492.48835846332884,""y_m"":1057.0189726833744},{""phase"":""arrive_recovery_target"",""t_s"":434.7445983625889,""x_m"":-1172.8712646456916,""y_m"":1171.8966754781156},{""phase"":""escort_complete"",""t_s"":1319.1079961863832,""x_m"":-1172.8712646456916,""y_m"":1171.8966754781156},{""phase"":""touchdown"",""t_s"":1500.0,""x_m"":-1172.8712646456916,""y_m"":1171.8966754781156}]}"
direct_full_lex_certification,1,7,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,310.0,20.0,330.0,1,Rodsand_II_003,250.4,vp_unimodal,动力定位,M,128.8,4.0,0.3396,0.003,time,210.5,0.0,39.8,250.4,250.4,174.0,0,3,none_after_last_mission,,,"{""dock_start_s"":1026.1860260048788,""escort_start_s"":471.8368316336672,""h_s"":1200.0,""inspections"":[{""end_s"":376.1541228335301,""start_s"":65.1541228335301,""turbine_id"":""Rodsand_II_003""}],""path_m"":[[-1195.915078072461,1186.307916232369],[-1245.2237753233499,231.17425249425338],[-1201.4069416529571,1191.9859550388644]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":65.1541228335301,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_003""},{""end_s"":376.1541228335301,""phase"":""inspection"",""start_s"":65.1541228335301,""turbine_id"":""Rodsand_II_003""},{""end_s"":471.8368316336672,""phase"":""return_leg"",""start_s"":376.1541228335301},{""end_s"":1026.1860260048788,""phase"":""escort"",""start_s"":471.8368316336672},{""end_s"":1200.0,""phase"":""dock"",""start_s"":1026.1860260048788}],""predicted_recovery_point_m"":[-1201.4069416529571,1191.9859550388644],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":471.8368316336672,""t_dock_s"":173.81397399512124,""touchdown_s"":1200.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-1195.915078072461,""y_m"":1186.307916232369},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-1195.915078072461,""y_m"":1186.307916232369},{""phase"":""arrive_turbine"",""t_s"":65.1541228335301,""turbine_id"":""Rodsand_II_003"",""x_m"":-1245.2237753233499,""y_m"":231.17425249425338},{""phase"":""inspection_complete"",""t_s"":376.1541228335301,""turbine_id"":""Rodsand_II_003"",""x_m"":-1245.2237753233499,""y_m"":231.17425249425338},{""phase"":""arrive_recovery_target"",""t_s"":471.8368316336672,""x_m"":-1201.4069416529571,""y_m"":1191.9859550388644},{""phase"":""escort_complete"",""t_s"":1026.1860260048788,""x_m"":-1201.4069416529571,""y_m"":1191.9859550388644},{""phase"":""touchdown"",""t_s"":1200.0,""x_m"":-1201.4069416529571,""y_m"":1191.9859550388644}]}"
