solution_role,K,batteries,result_contract,tau_min,h_min,recover_min,stops,turbines,E0_Wh,kappa,c_state,uav,margin_E_Wh,margin_T_s,rel_margin_E,rel_margin_T,binding,E_flight_Wh,E_escort_Wh,E_dock_Wh,E_plan_Wh,E_soc_required_Wh,t_dock_s,uav_id,battery_group,post_service_mode,post_service_start_min,post_service_end_min,schedule_json
direct_full_lex_certification,2,6,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,45.0,20.0,65.0,1,Rodsand_II_004,258.2,vp_unimodal,动力定位,M,121.0,63.0,0.3192,0.0525,time,220.7,0.0,37.2,258.2,258.2,158.0,0,0,none_after_last_mission,,,"{""dock_start_s"":1042.3416663366602,""escort_start_s"":455.9944070295701,""h_s"":1200.0,""inspections"":[{""end_s"":375.8191923983845,""start_s"":64.81919239838447,""turbine_id"":""Rodsand_II_004""}],""path_m"":[[-1824.5883062128105,1315.8019397974836],[-1927.2349729910134,401.3024902599132],[-1818.7071459723957,1339.4484558437211]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":64.81919239838447,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_004""},{""end_s"":375.8191923983845,""phase"":""inspection"",""start_s"":64.81919239838447,""turbine_id"":""Rodsand_II_004""},{""end_s"":455.9944070295701,""phase"":""return_leg"",""start_s"":375.8191923983845},{""end_s"":1042.3416663366602,""phase"":""escort"",""start_s"":455.9944070295701},{""end_s"":1200.0,""phase"":""dock"",""start_s"":1042.3416663366602}],""predicted_recovery_point_m"":[-1818.7071459723957,1339.4484558437211],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":455.9944070295701,""t_dock_s"":157.6583336633397,""touchdown_s"":1200.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-1824.5883062128105,""y_m"":1315.8019397974836},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-1824.5883062128105,""y_m"":1315.8019397974836},{""phase"":""arrive_turbine"",""t_s"":64.81919239838447,""turbine_id"":""Rodsand_II_004"",""x_m"":-1927.2349729910134,""y_m"":401.3024902599132},{""phase"":""inspection_complete"",""t_s"":375.8191923983845,""turbine_id"":""Rodsand_II_004"",""x_m"":-1927.2349729910134,""y_m"":401.3024902599132},{""phase"":""arrive_recovery_target"",""t_s"":455.9944070295701,""x_m"":-1818.7071459723957,""y_m"":1339.4484558437211},{""phase"":""escort_complete"",""t_s"":1042.3416663366602,""x_m"":-1818.7071459723957,""y_m"":1339.4484558437211},{""phase"":""touchdown"",""t_s"":1200.0,""x_m"":-1818.7071459723957,""y_m"":1339.4484558437211}]}"
direct_full_lex_certification,2,6,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,140.0,20.0,160.0,1,Rodsand_II_008,255.3,vp_unimodal,动力定位,M,123.9,51.0,0.3268,0.0423,time,217.6,0.0,37.5,255.3,255.3,161.0,1,1,none_after_last_mission,,,"{""dock_start_s"":1038.8463150088683,""escort_start_s"":443.60835814487274,""h_s"":1200.0,""inspections"":[{""end_s"":368.60697962567195,""start_s"":57.60697962567195,""turbine_id"":""Rodsand_II_008""}],""path_m"":[[-4296.423721211977,1829.9627092267322],[-3878.345822899044,1031.6665294084269],[-4245.445497524397,1667.618116324714]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":57.60697962567195,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_008""},{""end_s"":368.60697962567195,""phase"":""inspection"",""start_s"":57.60697962567195,""turbine_id"":""Rodsand_II_008""},{""end_s"":443.60835814487274,""phase"":""return_leg"",""start_s"":368.60697962567195},{""end_s"":1038.8463150088683,""phase"":""escort"",""start_s"":443.60835814487274},{""end_s"":1200.0,""phase"":""dock"",""start_s"":1038.8463150088683}],""predicted_recovery_point_m"":[-4245.445497524397,1667.618116324714],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":443.60835814487274,""t_dock_s"":161.15368499113177,""touchdown_s"":1200.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-4296.423721211977,""y_m"":1829.9627092267322},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-4296.423721211977,""y_m"":1829.9627092267322},{""phase"":""arrive_turbine"",""t_s"":57.60697962567195,""turbine_id"":""Rodsand_II_008"",""x_m"":-3878.345822899044,""y_m"":1031.6665294084269},{""phase"":""inspection_complete"",""t_s"":368.60697962567195,""turbine_id"":""Rodsand_II_008"",""x_m"":-3878.345822899044,""y_m"":1031.6665294084269},{""phase"":""arrive_recovery_target"",""t_s"":443.60835814487274,""x_m"":-4245.445497524397,""y_m"":1667.618116324714},{""phase"":""escort_complete"",""t_s"":1038.8463150088683,""x_m"":-4245.445497524397,""y_m"":1667.618116324714},{""phase"":""touchdown"",""t_s"":1200.0,""x_m"":-4245.445497524397,""y_m"":1667.618116324714}]}"
direct_full_lex_certification,2,6,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,160.0,30.0,190.0,2,Rodsand_II_005;Rodsand_II_006,378.8,vp_unimodal,动力定位,M,0.4,16.0,0.0011,0.0088,energy,338.4,0.0,39.6,378.8,378.8,169.0,0,2,none_after_last_mission,,,"{""dock_start_s"":1631.4446855246222,""escort_start_s"":740.2639336324808,""h_s"":1800.0,""inspections"":[{""end_s"":325.6365953699748,""start_s"":14.636595369974842,""turbine_id"":""Rodsand_II_005""},{""end_s"":707.1530829468998,""start_s"":396.1530829468997,""turbine_id"":""Rodsand_II_006""}],""path_m"":[[-2576.047332217171,559.6934856460999],[-2584.789529167861,584.5517293704775],[-3219.6942669719692,790.7071233696646],[-2581.5784233956665,570.8129783163432]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":14.636595369974842,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_005""},{""end_s"":325.6365953699748,""phase"":""inspection"",""start_s"":14.636595369974842,""turbine_id"":""Rodsand_II_005""},{""end_s"":396.1530829468997,""leg_index"":1,""phase"":""outbound_leg"",""start_s"":325.6365953699748,""turbine_id"":""Rodsand_II_006""},{""end_s"":707.1530829468998,""phase"":""inspection"",""start_s"":396.1530829468997,""turbine_id"":""Rodsand_II_006""},{""end_s"":740.2639336324808,""phase"":""return_leg"",""start_s"":707.1530829468998},{""end_s"":1631.4446855246222,""phase"":""escort"",""start_s"":740.2639336324808},{""end_s"":1800.0,""phase"":""dock"",""start_s"":1631.4446855246222}],""predicted_recovery_point_m"":[-2581.5784233956665,570.8129783163432],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":740.2639336324808,""t_dock_s"":168.55531447537786,""touchdown_s"":1800.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-2576.047332217171,""y_m"":559.6934856460999},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-2576.047332217171,""y_m"":559.6934856460999},{""phase"":""arrive_turbine"",""t_s"":14.636595369974842,""turbine_id"":""Rodsand_II_005"",""x_m"":-2584.789529167861,""y_m"":584.5517293704775},{""phase"":""inspection_complete"",""t_s"":325.6365953699748,""turbine_id"":""Rodsand_II_005"",""x_m"":-2584.789529167861,""y_m"":584.5517293704775},{""phase"":""arrive_turbine"",""t_s"":396.1530829468997,""turbine_id"":""Rodsand_II_006"",""x_m"":-3219.6942669719692,""y_m"":790.7071233696646},{""phase"":""inspection_complete"",""t_s"":707.1530829468998,""turbine_id"":""Rodsand_II_006"",""x_m"":-3219.6942669719692,""y_m"":790.7071233696646},{""phase"":""arrive_recovery_target"",""t_s"":740.2639336324808,""x_m"":-2581.5784233956665,""y_m"":570.8129783163432},{""phase"":""escort_complete"",""t_s"":1631.4446855246222,""x_m"":-2581.5784233956665,""y_m"":570.8129783163432},{""phase"":""touchdown"",""t_s"":1800.0,""x_m"":-2581.5784233956665,""y_m"":570.8129783163432}]}"
direct_full_lex_certification,2,6,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,270.0,20.0,290.0,1,Rodsand_II_003,250.5,vp_unimodal,动力定位,M,128.7,1.0,0.3395,0.0012,time,209.7,0.0,40.6,250.5,250.5,178.0,1,3,none_after_last_mission,,,"{""dock_start_s"":1022.1589768185062,""escort_start_s"":470.90803721463857,""h_s"":1200.0,""inspections"":[{""end_s"":375.92687718156606,""start_s"":64.92687718156603,""turbine_id"":""Rodsand_II_003""}],""path_m"":[[-1194.1975907540507,1185.9697757633442],[-1245.2237753233499,231.17425249425338],[-1189.0214529617458,1187.1124819922281]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":64.92687718156603,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_003""},{""end_s"":375.92687718156606,""phase"":""inspection"",""start_s"":64.92687718156603,""turbine_id"":""Rodsand_II_003""},{""end_s"":470.90803721463857,""phase"":""return_leg"",""start_s"":375.92687718156606},{""end_s"":1022.1589768185062,""phase"":""escort"",""start_s"":470.90803721463857},{""end_s"":1200.0,""phase"":""dock"",""start_s"":1022.1589768185062}],""predicted_recovery_point_m"":[-1189.0214529617458,1187.1124819922281],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":470.90803721463857,""t_dock_s"":177.84102318149385,""touchdown_s"":1200.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-1194.1975907540507,""y_m"":1185.9697757633442},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-1194.1975907540507,""y_m"":1185.9697757633442},{""phase"":""arrive_turbine"",""t_s"":64.92687718156603,""turbine_id"":""Rodsand_II_003"",""x_m"":-1245.2237753233499,""y_m"":231.17425249425338},{""phase"":""inspection_complete"",""t_s"":375.92687718156606,""turbine_id"":""Rodsand_II_003"",""x_m"":-1245.2237753233499,""y_m"":231.17425249425338},{""phase"":""arrive_recovery_target"",""t_s"":470.90803721463857,""x_m"":-1189.0214529617458,""y_m"":1187.1124819922281},{""phase"":""escort_complete"",""t_s"":1022.1589768185062,""x_m"":-1189.0214529617458,""y_m"":1187.1124819922281},{""phase"":""touchdown"",""t_s"":1200.0,""x_m"":-1189.0214529617458,""y_m"":1187.1124819922281}]}"
direct_full_lex_certification,2,6,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,300.0,20.0,320.0,1,Rodsand_II_009,251.3,vp_unimodal,动力定位,M,127.9,17.0,0.3372,0.0141,time,210.0,0.0,41.2,251.3,251.3,181.0,0,4,none_after_last_mission,,,"{""dock_start_s"":1018.5280589385062,""escort_start_s"":439.9686536900497,""h_s"":1200.0,""inspections"":[{""end_s"":357.87142369584456,""start_s"":46.87142369584457,""turbine_id"":""Rodsand_II_009""}],""path_m"":[[-1195.7297277681505,1186.2487701682019],[-492.48835846332884,1057.0189726833744],[-1195.8968546355823,1182.2268275889317]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":46.87142369584457,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_009""},{""end_s"":357.87142369584456,""phase"":""inspection"",""start_s"":46.87142369584457,""turbine_id"":""Rodsand_II_009""},{""end_s"":439.9686536900497,""phase"":""return_leg"",""start_s"":357.87142369584456},{""end_s"":1018.5280589385062,""phase"":""escort"",""start_s"":439.9686536900497},{""end_s"":1200.0,""phase"":""dock"",""start_s"":1018.5280589385062}],""predicted_recovery_point_m"":[-1195.8968546355823,1182.2268275889317],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":439.9686536900497,""t_dock_s"":181.47194106149382,""touchdown_s"":1200.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-1195.7297277681505,""y_m"":1186.2487701682019},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-1195.7297277681505,""y_m"":1186.2487701682019},{""phase"":""arrive_turbine"",""t_s"":46.87142369584457,""turbine_id"":""Rodsand_II_009"",""x_m"":-492.48835846332884,""y_m"":1057.0189726833744},{""phase"":""inspection_complete"",""t_s"":357.87142369584456,""turbine_id"":""Rodsand_II_009"",""x_m"":-492.48835846332884,""y_m"":1057.0189726833744},{""phase"":""arrive_recovery_target"",""t_s"":439.9686536900497,""x_m"":-1195.8968546355823,""y_m"":1182.2268275889317},{""phase"":""escort_complete"",""t_s"":1018.5280589385062,""x_m"":-1195.8968546355823,""y_m"":1182.2268275889317},{""phase"":""touchdown"",""t_s"":1200.0,""x_m"":-1195.8968546355823,""y_m"":1182.2268275889317}]}"
direct_full_lex_certification,2,6,fleet-anytime-result-v17.1-coherent-weather-formal-algorithm-parity,305.0,20.0,325.0,1,Rodsand_II_010,253.3,vp_unimodal,动力定位,M,125.9,73.0,0.3321,0.0606,time,211.9,0.0,41.3,253.3,253.3,182.0,1,5,none_after_last_mission,,,"{""dock_start_s"":1017.9229059585061,""escort_start_s"":326.9881091710681,""h_s"":1200.0,""inspections"":[{""end_s"":324.23290969772916,""start_s"":13.23290969772916,""turbine_id"":""Rodsand_II_010""}],""path_m"":[[-1195.2565122433596,1185.856827669779],[-1170.3696747182971,1179.1110021389813],[-1192.030042389816,1186.9687769334198]],""phases"":[{""end_s"":12.0,""phase"":""takeoff"",""start_s"":0.0},{""end_s"":13.23290969772916,""leg_index"":0,""phase"":""outbound_leg"",""start_s"":12.0,""turbine_id"":""Rodsand_II_010""},{""end_s"":324.23290969772916,""phase"":""inspection"",""start_s"":13.23290969772916,""turbine_id"":""Rodsand_II_010""},{""end_s"":326.9881091710681,""phase"":""return_leg"",""start_s"":324.23290969772916},{""end_s"":1017.9229059585061,""phase"":""escort"",""start_s"":326.9881091710681},{""end_s"":1200.0,""phase"":""dock"",""start_s"":1017.9229059585061}],""predicted_recovery_point_m"":[-1192.030042389816,1186.9687769334198],""result_contract"":""route-nominal-schedule"",""return_arrival_s"":326.9881091710681,""t_dock_s"":182.07709404149384,""touchdown_s"":1200.0,""waypoints"":[{""phase"":""launch"",""t_s"":0.0,""x_m"":-1195.2565122433596,""y_m"":1185.856827669779},{""phase"":""takeoff_complete"",""t_s"":12.0,""x_m"":-1195.2565122433596,""y_m"":1185.856827669779},{""phase"":""arrive_turbine"",""t_s"":13.23290969772916,""turbine_id"":""Rodsand_II_010"",""x_m"":-1170.3696747182971,""y_m"":1179.1110021389813},{""phase"":""inspection_complete"",""t_s"":324.23290969772916,""turbine_id"":""Rodsand_II_010"",""x_m"":-1170.3696747182971,""y_m"":1179.1110021389813},{""phase"":""arrive_recovery_target"",""t_s"":326.9881091710681,""x_m"":-1192.030042389816,""y_m"":1186.9687769334198},{""phase"":""escort_complete"",""t_s"":1017.9229059585061,""x_m"":-1192.030042389816,""y_m"":1186.9687769334198},{""phase"":""touchdown"",""t_s"":1200.0,""x_m"":-1192.030042389816,""y_m"":1186.9687769334198}]}"
